nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
kanamed pharma,KANAMYCINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,18.0,11.9,18.0,G,0%,كاناميد بهارما,kanamed pharma
ventoline,SALBUTAMOL,100,µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 200 DOSE,45.3,28.3,45.3,P,70%,فينتوليني,ventoline
topiramate gt 25 mg,TOPIRAMATE,25,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,59.4,39.3,59.4,G,0%,توبيراماتي جت 25 مج,topiramate gt 25 mg
belmazol 20mg,OMEPRAZOLE,20,MG,GELULE,1 BOITE 7 GELULE,22.5,14.9,22.5,G,0%,بيلمازول 20مج,belmazol 20mg
venofer 100 mg/5ml,FER,100 / 5,MG/ML,SOLUTION INJECTABLE IV,5 AMPOULE 5 ML,507.0,336.0,507.0,P,70%,فينوفير 100 مج/5مل,venofer 100 mg 5ml
biguan 500,METFORMINE,500,MG,COMPRIME,1 BOITE 50 COMPRIME,19.4,12.1,19.4,G,70%,بيجوان 500,biguan 500
cardura,DOXAZOSINE,1,MG,COMPRIME,1 BOITE 20 COMPRIME,140.2,92.7,140.2,P,0%,كاردورا,cardura
serum antitetanique 1500 ui/ml,IMMUNOGLOBULINES ANTITETANIQUES,,,SOLUTION INJECTABLE,1 AMPOULE 1 ML,20.0,12.5,20.0,P,70%,سيروم انتيتيتانيقوي 1500 وي/مل,serum antitetanique 1500 ui ml
kenalcol,TRIAMCINOLONE / CHLORURE DE BENZALKONIUM,44.5 / 22.25,MG / MG,SOLUTION POUR APPLICATION LOCALE,1 FLACON 25 ML,31.6,20.9,31.6,P,0%,كينالكول,kenalcol
biotic plus,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 125,MG / MG,COMPRIME ENROBE,1 BOITE 24 COMPRIME,219.3,145.05,219.3,G,70%,بيوتيك بلوس,biotic plus
sulfa-bleu,SULFACETAMIDE / TETRAMETHYLTHIONINE,10 / 0.01,% / %,COLLYRE,1 FLACON 10 ML,18.5,12.2,18.5,P,0%,سولفا-بليو,sulfa bleu
megaflox iv,CIPROFLOXACINE,200,MG,SOLUTION POUR PERFUSION,1 FLACON 100 ML,151.0,94.1,151.0,G,70%,ميجافلوكس يف,megaflox iv
loractyne,LORATADINE,10,MG,COMPRIME,1 BOITE 15 COMPRIME,48.9,30.5,48.9,G,70%,لوراكتيني,loractyne
fazol g,ISOCONAZOLE,300,MG,OVULE,1 BOITE 3 OVULE,46.3,28.8,46.3,P,70%,فازول ج,fazol g
zinnat,CEFUROXIME,125,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,81.1,50.5,81.1,P,70%,زيننات,zinnat
ancotil,FLUCYTOSINE,2.5,G,SOLUTION POUR PERFUSION,4 FLACON 250 ML,531.0,352.0,531.0,P,70%,انكوتيل,ancotil
teguma,TERBINAFINE,250,MG,COMPRIME,1 BOITE 14 COMPRIME,120.0,74.8,120.0,G,70%,تيجوما,teguma
myfortic 360 mg,ACIDE MYCOPHENOLIQUE,360,MG,COMPRIME PELLICULE GASTRO-RESISTANT,1 BOITE 120 COMPRIME PELLICULE GASTRO-RESISTANT,0.0,2255.3,2255.3,P,0%,ميفورتيك 360 مج,myfortic 360 mg
orapred 5 mg,PREDNISOLONE,5,MG,COMPRIME EFFERVESCENT,1 BOITE 30 COMPRIME EFFERVESCENT,20.0,12.5,20.0,G,70%,ورابريد 5 مج,orapred 5 mg
naaxia,ACIDE N-ACETYL ASPARTYLGLUTAMIQUE,4.9,G,COLLYRE,1 FLACON 5 ML,53.4,35.3,53.4,P,0%,نااكسيا,naaxia
glucose 30% laprophan,GLUCOSE,30,%,SOLUTION POUR PERFUSION,12 FLACON 500 ML,255.1,168.7,255.1,G,0%,جلوكوسي 30% لابروبهان,glucose 30 laprophan
tiberal,ORNIDAZOLE,500,MG,SOLUTION POUR PERFUSION,1 BOITE 1 AMPOULE INJECTABLE,110.6,0.0,110.6,P,0%,تيبيرال,tiberal
endoxan 200 mg,CYCLOPHOSPHAMIDE,200,MG,POUDRE POUR SOLUTION INJECTABLE IV,1 BOITE 10 FLACON,184.3,115.2,184.3,P,70%,يندوكسان 200 مج,endoxan 200 mg
eucarbon,CHARBON VEGETAL,,,COMPRIME,1 BOITE 30 COMPRIME,32.0,21.2,32.0,G,0%,يوكاربون,eucarbon
tafen,TAMOXIFENE,20,MG,COMPRIME,1 BOITE 30 COMPRIME,124.3,77.7,124.3,G,70%,تافين,tafen
aximycine,AMOXICILLINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 6 FLACON,72.7,45.3,72.7,G,70%,اكسيميكيني,aximycine
exforge hct 10mg/160mg/25mg,AMLODIPINE / VALSARTAN / HYDROCHLOROTHIAZIDE,10/160/25,MG / MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,363.1,240.2,363.1,P,0%,يكسفورجي هكت 10مج/160مج/25مج,exforge hct 10mg 160mg 25mg
tecpril,RAMIPRIL,10,MG,GELULE,1 BOITE 30 GELULE,120.0,75.0,120.0,G,70%,تيكبريل,tecpril
indopharm,INDOMETACINE,100,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,21.2,13.2,21.2,G,70%,يندوبهارم,indopharm
neurontin,GABAPENTINE,300,MG,GELULE,1 BOITE 90 GELULE,548.7,363.0,548.7,P,0%,نيورونتين,neurontin
alkeran,MELPHALAN,2,MG,COMPRIME,1 BOITE 50 COMPRIME,100.4,66.4,100.4,P,70%,الكيران,alkeran
baralgin m,METAMIZOLE,500,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,17.2,11.4,17.2,P,0%,بارالجين م,baralgin m
norbiline,PROZAPINE,2,MG,SOLUTION BUVABLE,1 BOITE 20 AMPOULE BUVABLE,28.8,0.0,28.8,P,0%,نوربيليني,norbiline
mynocine,MINOCYCLINE,100,MG,GELULE,1 BOITE 12 GELULE,103.6,68.5,70.0,P,70%,مينوكيني,mynocine
biosel,CHLORURE DE SODIUM / CITRATE TRISODIQUE,3.5 / 2.9,G / G,POUDRE POUR SOLUTION BUVABLE,1 BOITE 3 SACHET,12.2,8.1,12.2,P,0%,بيوسيل,biosel
opticilline,AMPICILLINE,125,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,21.8,14.4,21.8,G,70%,وبتيكيلليني,opticilline
lidocaine 1% laprophan,LIDOCAINE,1,%,SOLUTION INJECTABLE,1 FLACON 20 ML,15.7,9.8,15.7,G,70%,ليدوكايني 1% لابروبهان,lidocaine 1 laprophan
aureomycine 1%,CHLORTETRACYCLINE,1,%,POMMADE OPHTALMIQUE,1 TUBE 5 G,5.5,3.6,5.5,G,0%,اوريوميكيني 1%,aureomycine 1
spectrum 500,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,89.0,55.4,89.0,G,70%,سبيكتروم 500,spectrum 500
novalgine,METAMIZOLE,1,G,SUPPOSITOIRE,1 BOITE 5 SUPPOSITOIRE,9.2,6.1,9.2,P,0%,نوفالجيني,novalgine
augmentin,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 125,MG / MG,COMPRIME PELLICULE,1 BOITE 12 COMPRIME,152.0,0.0,116.25,P,70%,اوجمينتين,augmentin
"atropine sulfate 0,50 mg,atropine,0.5,mg,solution injectable,1 boite 100 ampoule injectable,173.0,108.1,173.0,g,70%,""اتروبيني سولفاتي 0,50 مج"",atropine sulfate 0 50 mg,,,,,,,,,,,,"
vitatlon plus,ACIDE ASCORBIQUE (VITAMINE C) / PYRIDOXINE (VITAMINE B6) / NICOTINAMIDE (VIT PP),500,MG / NA / NA,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,50.0,33.1,50.0,G,0%,فيتاتلون بلوس,vitatlon plus
twinrix (pediatrique),VACCIN ANTI-HEPATITE A ET B,0,,SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,288.0,0.0,0.0,P,70%,توينريكس (بيدياتريقوي),twinrix pediatrique
biogaze pm,NIAOULI / THYM,85.55 / 56.55,MG / MG,COMPRESSE IMPREGNEE,1 BOITE 1 COMPRESSE,15.8,10.4,15.8,G,0%,بيوجازي بم,biogaze pm
fentanyl janssen 100 µg/2 ml,FENTANYL,100,µG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE,35.7,23.6,35.7,P,0%,فينتانيل جانسسين 100 µج/2 مل,fentanyl janssen 100 ug 2 ml
parantal 3%,PARACETAMOL,3,%,SOLUTION BUVABLE,1 FLACON 90 ML,17.5,10.9,17.5,G,70%,بارانتال 3%,parantal 3
litak 10,CLADRIBINE,10,MG,SOLUTION POUR INJECTION SOUS-CUTANEE OU PERFUSION IV,1 BOITE 5 FLACON,0.0,17592.0,17592.0,G,0%,ليتاك 10,litak 10
supradyne sans sucre,MULTIVITAMINES ET MINERAUX,,,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,64.0,42.3,64.0,P,0%,سوبراديني سانس سوكري,supradyne sans sucre
solian,AMISULPRIDE,50,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,85.1,53.0,85.1,P,70%,سوليان,solian
acidac,RANITIDINE,300,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,90.0,56.1,90.0,G,70%,اكيداك,acidac
pedovex 75 mg,CLOPIDOGREL,75,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,255.0,159.9,255.0,G,70%,بيدوفيكس 75 مج,pedovex 75 mg
tensiotec,RAMIPRIL,5,MG,GELULE,1 BOITE 30 GELULE,57.0,35.6,57.0,G,70%,تينسيوتيك,tensiotec
arcoxia,ETORICOXIB,60,MG,COMPRIME PELLICULE,1 BOITE 7 COMPRIME,130.0,86.0,130.0,P,0%,اركوكسيا,arcoxia
aractine,CYPROHEPTADINE,4,MG,COMPRIME,1 BOITE 30 COMPRIME,18.25,0.0,18.25,G,0%,اراكتيني,aractine
gastrogel,HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM,400 / 400,MG / MG,COMPRIME,1 BOITE 40 COMPRIME,15.3,10.1,15.3,G,0%,جاستروجيل,gastrogel
theophylline bruneau adulte,THEOPHYLLINE,350,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,15.2,9.5,15.2,P,70%,تهيوبهيلليني برونياو ادولتي,theophylline bruneau adulte
xenid,DICLOFENAC,100,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,30.1,18.7,30.1,G,70%,كسينيد,xenid
noporose 35 mg,RISEDRONATE,35,MG,COMPRIME PELLICULE,1 BOITE 12 COMPRIME PELLICULE,497.0,329.0,497.0,G,70%,نوبوروسي 35 مج,noporose 35 mg
penicilline g 1 meg,BENZYLPENICILLINE,1,MUI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 6 FLACON,60.2,0.0,60.2,P,70%,بينيكيلليني ج 1 ميج,penicilline g 1 meg
soclav enfant,AMOXICILLINE / ACIDE CLAVULANIQUE,100 / 12.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,63.0,39.2,63.0,G,70%,سوكلاف ينفانت,soclav enfant
androtardyl,TESTOSTERONE,250,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE,40.0,0.0,40.0,P,0%,اندروتارديل,androtardyl
decadron,DEXAMETHASONE,0.5,MG,COMPRIME SECABLE,1 BOITE 40 COMPRIME,36.0,22.4,36.0,P,70%,ديكادرون,decadron
eryacne,ERYTHROMYCINE,4,%,GEL,1 TUBE 30 G,66.3,43.85,66.3,P,0%,يرياكني,eryacne
surgestone,PROMEGESTONE,0.25,MG,COMPRIME,1 BOITE 10 COMPRIME,71.9,47.5,71.9,P,70%,سورجيستوني,surgestone
mono-tildiem lp,DILTIAZEM,300,MG,GELULE LP,1 BOITE 28 GELULE,218.0,136.6,155.0,P,70%,مونو-تيلدييم لب,mono tildiem lp
imigran,SUMATRIPTAN,50,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME,130.9,81.5,130.9,P,70%,يميجران,imigran
temesta,LORAZEPAM,2.5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,29.5,18.4,21.0,P,70%,تيميستا,temesta
inductan,TRIMEBUTINE,100,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,22.4,14.0,22.4,P,70%,يندوكتان,inductan
trophires nourrissons,HUILE ESSENTIELLE DEUCALYPTUS / TENOATE DE SODIUM,44 / 95,MG / MG,SUPPOSITOIRE,1 BOITE 8 SUPPOSITOIRE,10.0,6.6,10.0,P,0%,تروبهيريس نوورريسسونس,trophires nourrissons
amcard,AMLODIPINE,5,MG,COMPRIME,1 BOITE 28 COMPRIME,50.0,31.2,50.0,G,70%,امكارد,amcard
umax 400 µg lp,TAMSULOSINE,0.4,MG,GELULE LP,1 BOITE 60 GELULE LP,213.0,133.1,213.0,G,70%,وماكس 400 µج لب,umax 400 ug lp
sifrol 1.05 mg,PRAMIPEXOLE,1.05,MG,COMPRIME LP,1 BOITE 30 COMPRIME A LP,592.0,391.6,592.0,P,0%,سيفرول 1.05 مج,sifrol 1 05 mg
exforge hct 10mg/160mg/12.5mg,AMLODIPINE / VALSARTAN / HYDROCHLOROTHIAZIDE,10/160/12.5,MG / MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,363.1,240.2,363.1,P,0%,يكسفورجي هكت 10مج/160مج/12.5مج,exforge hct 10mg 160mg 12 5mg
chronadalate l.p,NIFEDIPINE,60,MG,COMPRIME OSMOTIQUE LP,1 BOITE 10 COMPRIME,48.2,30.1,48.2,P,70%,كهرونادالاتي ل.ب,chronadalate l p
ado 1000mg,METFORMINE,1000,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,19.9,13.2,19.9,G,0%,ادو 1000مج,ado 1000mg
dialyse peritoneale bieffe formule 62,CONCENTRE POUR DIALYSE PERITONEALE,,,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,82.6,0.0,82.6,P,70%,دياليسي بيريتونيالي بييففي فورمولي 62,dialyse peritoneale bieffe formule 62
oka-docetaxel,DOCETAXEL,20,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON .5 ML,922.0,640.0,922.0,G,70%,وكا-دوكيتاكسيل,oka docetaxel
betneval neomycine,BETAMETHASONE / NEOMYCINE,0.1 / 0.35,G / G,POMMADE,1 TUBE 10 G,13.8,9.1,13.8,P,0%,بيتنيفال نيوميكيني,betneval neomycine
alfatil lp,CEFACLOR,750,MG,COMPRIME LP,1 BOITE 10 COMPRIME,234.0,0.0,234.0,G,70%,الفاتيل لب,alfatil lp
mestinon,PYRIDOSTIGMINE,60,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,62.9,39.2,62.9,P,70%,ميستينون,mestinon
codenfan 1 mg/ml,CODEINE,1,MG,SIROP,1 FLACON 200 ML,29.6,19.6,29.6,P,0%,كودينفان 1 مج/مل,codenfan 1 mg ml
esac 20mg,ESOMEPRAZOLE,20,MG,GELULE,1 BOITE 28 GELULE,160.0,106.2,160.0,G,0%,يساك 20مج,esac 20mg
rocephin im,CEFTRIAXONE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,119.2,74.3,114.3,P,70%,روكيبهين يم,rocephin im
imidazol,FLUCONAZOLE,150,MG,GELULE,1 BOITE 4 GELULE,72.0,47.6,0.0,G,70%,يميدازول,imidazol
metilbetasone,METHYLPREDNISOLONE,80,MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,3 AMPOULE 1.5 ML,84.0,52.5,84.0,P,70%,ميتيلبيتاسوني,metilbetasone
umuline profil 30,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,166.0,103.7,130.0,P,70%,وموليني بروفيل 30,umuline profil 30
lasilix retard,FUROSEMIDE,30,MG,GELULE LP,1 BOITE 30 GELULE LP,56.4,35.2,56.4,P,70%,لاسيليكس ريتارد,lasilix retard
carboplatine mylan,CARBOPLATINE,600,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,3174.6,2100.0,3174.6,G,0%,كاربوبلاتيني ميلان,carboplatine mylan
mycoderme 150 mg,ECONAZOLE,150,MG,OVULE,1 BOITE 3 OVULE,38.0,23.7,38.0,G,70%,ميكوديرمي 150 مج,mycoderme 150 mg
depakine,VALPROATE DE SODIUM,500,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 40 COMPRIME,100.1,62.4,100.1,P,70%,ديباكيني,depakine
tegeline 50 mg/ml,IMMUNOGLOBULINE HUMAINE NORMALE,5,G/100ML,POUDRE POUR SOLUTION POUR PERFUSION,1 BOITE 1 FLACON 100 ML,0.0,3941.0,3941.0,P,0%,تيجيليني 50 مج/مل,tegeline 50 mg ml
chlorure de sodium 0.9% sothema,CHLORURE DE SODIUM,0.9,%,SOLUTION POUR PERFUSION,1 POCHE 100 ML,14.0,9.25,14.0,G,0%,كهلوروري دي سوديوم 0.9% سوتهيما,chlorure de sodium 0 9 sothema
purinol,ALLOPURINOL,100,MG,COMPRIME,1 BOITE 28 COMPRIME,14.9,9.3,14.9,G,70%,بورينول,purinol
prevenar 13,POLYOSIDES PNEUMOCOCCIQUES,,,SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,814.0,539.0,814.0,P,70%,بريفينار 13,prevenar 13
catapressan,CLONIDINE,0.15,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME SECABLE,25.4,15.9,25.4,P,70%,كاتابريسسان,catapressan
roaccutane,ISOTRETINOINE,10,MG,CAPSULE MOLLE,1 BOITE 30 CAPSULE,221.0,138.3,209.0,P,70%,رواككوتاني,roaccutane
rifampicine pharma,RIFAMPICINE,150,MG,GELULE,1 BOITE 30 GELULE,69.35,45.9,69.35,G,0%,ريفامبيكيني بهارما,rifampicine pharma
amlodipine gt,AMLODIPINE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,43.0,26.9,43.0,G,70%,املوديبيني جت,amlodipine gt
imurel,AZATHIOPRINE,50,MG,COMPRIME PELLICULE,1 BOITE 100 COMPRIME PELLICULE,378.0,251.0,378.0,P,70%,يموريل,imurel
nurodol,IBUPROFENE,200,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,17.0,0.0,17.0,G,70%,نورودول,nurodol
avostav,STAVUDINE,40,MG,GELULE,1 BOITE 60 GELULE,445.0,295.0,445.0,G,70%,افوستاف,avostav
frakidex pommade,DEXAMETHASONE / FRAMYCETINE,5 / 15750,MG / UI,POMMADE OPHTALMIQUE,1 TUBE 5 G,23.8,15.7,23.8,G,0%,فراكيديكس بوممادي,frakidex pommade
hexidyl,HEXETIDINE,0.1,G,SOLUTION POUR BAIN DE BOUCHE,1 FLACON 200 ML,12.75,8.4,12.75,G,0%,هيكسيديل,hexidyl
azantac,RANITIDINE,50,MG,SOLUTION INJECTABLE,5 AMPOULE 2 ML,64.2,40.0,64.2,P,70%,ازانتاك,azantac
lovenox,ENOXAPARINE,4000,UI ANTI-XA,SOLUTION INJECTABLE,6 SERINGUE .4 ML,374.0,247.0,347.0,P,70%,لوفينوكس,lovenox
amuchin 3,CHLOROXYDANT / ELECTROLYTIQUE,0.033 / 0.54,G / G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 200 ML,16.95,0.0,16.95,G,0%,اموكهين 3,amuchin 3
docewin 20 mg/0.5 ml,DOCETAXEL,20,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON .5 ML,800.0,532.0,800.0,G,70%,دوكيوين 20 مج/0.5 مل,docewin 20 mg 0 5 ml
novoseven 60 kui *,EPTACOG ALPHA ACTIVE ( R FVII),1.2,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 KIT,7288.0,7040.0,7288.0,P,70%,نوفوسيفين 60 كوي *,novoseven 60 kui
docetaxel hospira 10 mg/ml,DOCETAXEL,80,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 8 ML,2572.0,1701.4,2572.0,G,70%,دوكيتاكسيل هوسبيرا 10 مج/مل,docetaxel hospira 10 mg ml
bi-oragin 1.5 mui/250 mg,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME PELLICULE SECABLE,1 BOITE 16 COMPRIME PELLICULE SECABLE,65.2,43.1,65.2,G,70%,بي-وراجين 1.5 موي/250 مج,bi oragin 1 5 mui 250 mg
aranesp 10 µg,DARBEPOETIN ALFA,10,µG,SOLUTION INJECTABLE,1 BOITE 4 SERINGUE PREREMPLIE,0.0,661.4,661.4,P,0%,ارانيسب 10 µج,aranesp 10 ug
voltarene,DICLOFENAC,75,MG,SOLUTION INJECTABLE,1 BOITE 2 AMPOULE INJECTABLE,23.3,14.5,15.9,P,70%,فولتاريني,voltarene
topiramate gt 200 mg,TOPIRAMATE,200,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE,741.5,490.5,741.5,G,0%,توبيراماتي جت 200 مج,topiramate gt 200 mg
cromedil 2 pour cent,CROMOGLYCATE DE SODIUM,2,%,COLLYRE,1 BOITE 30 RECIPIENT,51.0,33.7,51.0,P,0%,كروميديل 2 بوور كينت,cromedil 2 pour cent
co-renitec,ENALAPRIL / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME,66.7,41.7,66.7,P,70%,كو-رينيتيك,co renitec
nekar,KETOTIFENE,1,MG,COMPRIME,1 BOITE 30 COMPRIME,47.0,31.1,47.0,G,0%,نيكار,nekar
simvastatine win 20 mg,SIMVASTATINE,20,MG,COMPRIME PELLICULE SECABLE,1 BOITE 14 COMPRIME PELLICULE SECABLE,25.1,16.6,25.1,G,70%,سيمفاستاتيني وين 20 مج,simvastatine win 20 mg
catalgine normale,ACIDE ACETYLSALICYLIQUE,500,MG,POUDRE POUR SOLUTION BUVABLE,1 BOITE 20 SACHET,22.0,13.7,22.0,P,70%,كاتالجيني نورمالي,catalgine normale
flumyk,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,27.0,16.8,27.0,G,70%,فلوميك,flumyk
octanate 50 ui/ml,FACTEUR VIII,250,UI,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON DE POUDRE + FLACON DE SOLVANT,0.0,850.0,850.0,P,0%,وكتاناتي 50 وي/مل,octanate 50 ui ml
amlodipine win,AMLODIPINE,5,MG,COMPRIME,1 BOITE 14 COMPRIME,19.0,11.9,19.0,G,70%,املوديبيني وين,amlodipine win
vogaset,ONDANSETRON,8,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 5 AMPOULE INJECTABLE,484.0,321.0,484.0,G,70%,فوجاسيت,vogaset
visceralgine,TIEMONIUM,10,MG,SIROP,1 FLACON 150 ML,16.6,10.3,16.6,P,70%,فيسكيرالجيني,visceralgine
aranesp 50 µg,DARBEPOETIN ALFA,50,µG,SOLUTION INJECTABLE,1 BOITE 4 SERINGUE PREREMPLIE,0.0,3307.2,3307.2,P,0%,ارانيسب 50 µج,aranesp 50 ug
combivent,IPRATROPIUM / SALBUTAMOL,100 / 20,µG / µG,SUSPENSION POUR INHALATION,1 FLACON 200 DOSE,103.7,68.6,0.0,P,70%,كومبيفينت,combivent
mebo,BAICALLINE / SITOSTEROL,NA / 0.25,NA / %,CREME,1 TUBE 30 G,140.0,92.6,140.0,P,0%,ميبو,mebo
di-indo,INDOMETACINE,25,MG,COMPRIME EFFERVESCENT,1 BOITE 30 COMPRIME,65.0,40.5,27.8,P,70%,دي-يندو,di indo
rhinocort,BUDESONIDE,64,µG,SUSPENSION NASALE,1 FLACON 120 DOSE,103.8,64.7,103.8,P,70%,رهينوكورت,rhinocort
zyloric,ALLOPURINOL,300,MG,COMPRIME,1 BOITE 28 COMPRIME,43.2,26.9,43.2,P,70%,زيلوريك,zyloric
ethambutol pharma,ETHAMBUTOL,500,MG,COMPRIME,1 BOITE 20 COMPRIME,35.7,0.0,35.7,G,0%,يتهامبوتول بهارما,ethambutol pharma
lucentis 10mg/ml,RANIBIZUMAB,10,MG,SOLUTION INJECTABLE,1 AMPOULE .23 ML,0.0,10369.4,10369.4,P,0%,لوكينتيس 10مج/مل,lucentis 10mg ml
aulin,NIMESULIDE,100,MG,COMPRIME,1 BOITE 20 COMPRIME,66.3,0.0,66.3,G,0%,اولين,aulin
vogalene,METOPIMAZINE,0.4,%,SOLUTION POUR GOUTTES BUVABLES,1 FLACON 30 ML,17.6,11.0,17.6,P,70%,فوجاليني,vogalene
c-bac 500 mg,CLARITHROMYCINE,500,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME ENROBE,132.0,87.3,132.0,G,70%,ك-باك 500 مج,c bac 500 mg
s-citap 20 mg,ESCITALOPRAM,20,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,193.0,127.7,193.0,G,0%,س-كيتاب 20 مج,s citap 20 mg
glucophage 500,METFORMINE,500,MG,COMPRIME PELLICULE,1 BOITE 50 COMPRIME,20.8,13.0,19.5,P,70%,جلوكوبهاجي 500,glucophage 500
glyazid,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,29.7,18.6,29.7,G,70%,جليازيد,glyazid
klean prep,MULTIPLE,,,POUDRE POUR SOLUTION BUVABLE,1 BOITE 8 SACHET,143.9,95.2,143.9,P,0%,كليان بريب,klean prep
acticarbine,CHARBON ACTIVE / PAPAVERINE,70 / 14,MG / MG,COMPRIME ENROBE,1 BOITE 84 COMPRIME,46.9,31.0,46.9,P,0%,اكتيكاربيني,acticarbine
volmax,SALBUTAMOL,4,MG,COMPRIME LP,1 BOITE 14 COMPRIME,57.6,38.1,57.6,P,70%,فولماكس,volmax
flixotide diskus,FLUTICASONE,250,µG,SUSPENSION POUR INHALATION,1 BOITE 60 RECIPIENT,289.0,0.0,289.0,P,70%,فليكسوتيدي ديسكوس,flixotide diskus
humalog mix 25,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 STYLO 3 ML,111.0,0.0,73.0,P,70%,هومالوج ميكس 25,humalog mix 25
alphagan,BRIMONIDINE,0.2,%,COLLYRE,1 FLACON 20 ML,147.5,91.9,147.5,P,70%,البهاجان,alphagan
nifluril,ACIDE NIFLUMIQUE,3,%,POMMADE,1 TUBE 60 G,18.0,11.9,18.0,P,0%,نيفلوريل,nifluril
ketoflex,KETOPROFENE,50,MG,GELULE,1 BOITE 24 GELULE,24.5,15.3,24.5,G,70%,كيتوفليكس,ketoflex
nupentin,GABAPENTINE,300,MG,GELULE,1 BOITE 30 GELULE,99.2,65.6,99.2,G,0%,نوبينتين,nupentin
arixtra 2.5 mg/0.5 ml,FONDAPARINUX SODIQUE,2.5,MG,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE,190.0,125.7,190.0,P,0%,اريكسترا 2.5 مج/0.5 مل,arixtra 2 5 mg 0 5 ml
deroxat,PAROXETINE,20,MG,COMPRIME PELLICULE SECABLE,1 BOITE 14 COMPRIME,83.7,52.1,83.7,P,70%,ديروكسات,deroxat
ebetaxel,PACLITAXEL,300,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 50 ML,4043.0,3750.0,4043.0,G,70%,يبيتاكسيل,ebetaxel
resorcell,CELLULOSE OXYDEE,,,BOULETTE,1 FLACON 50 BOULETTE,605.0,0.0,605.0,P,0%,ريسوركيلل,resorcell
